ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Woo Variation Gallery Images,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wp_page_template,Meta: _product_video_gallery,Meta: _product_video_code,Meta: _product_video_autoplay,Meta: _et_quantity_type,Meta: _et_quantity_ranges,Meta: _sale_price_time_start,Meta: _sale_price_time_end,Meta: _et_gtin,Meta: _et_primary_category,Meta: _et_sale_counter,Meta: _et_single_layout,Meta: _et_additional_block,Meta: _et_product_slider,Meta: _et_single_thumbnail_hover,Meta: _et_product_view_hover,Meta: _et_product_view_color,Meta: _et_product_video_thumbnail,Meta: _eael_post_view_count,Meta: _yoast_wpseo_primary_brand,Meta: _yoast_wpseo_primary_product_brand,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: is_jewellery_product,Meta: its_jp_gold_types,Meta: its_jp_gold_weight,Meta: its_jp_gold_making_charge,Meta: its_jp_gold_wastage_charge,Meta: its_jp_gold_discount,Meta: its_jp_gold_making_charge_discount,Meta: its_jp_gold_wastage_charge_discount,Meta: gold_making_charge_amount,Meta: gold_wastage_charge_amount,Meta: gold_value,Meta: only_metals_total,Meta: making_charges_total,Meta: wastage_charges_total,Meta: itsjp_subtotal,Meta: itsjp_totaltax,Meta: metals_total,Meta: extra_field_costs,Meta: additionalPercentage,Meta: metals_diff_gst,Meta: gstPercentage,Meta: grand_final_price,Meta: final_price,Meta: round_off,Meta: its_jp_diamond_types,Meta: its_jp_diamond_weight,Meta: its_jp_diamond_making_charge,Meta: its_jp_diamond_wastage_charge,Meta: its_jp_diamond_discount,Meta: its_jp_diamond_making_charge_discount,Meta: its_jp_diamond_wastage_charge_discount,Meta: diamond_making_charge_amount,Meta: diamond_wastage_charge_amount,Meta: diamond_value,Meta: _wp_desired_post_slug,Meta: rs_page_bg_color,Meta: _wp_old_date,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
1936,variation,,,"Radiant Embrace Chain - 7 (50.2 mm), 14k-yellow-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,10,,,Size,7 (50.2 mm),,1,Color,14k-yellow-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,variation,,,"Radiant Embrace Chain - 8 (50.4 mm), 14k-yellow-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,11,,,Size,8 (50.4 mm),,1,Color,14k-yellow-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,variation,,,"Radiant Embrace Chain - 9 (50.6 mm), 14k-yellow-gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,12,,,Size,9 (50.6 mm),,1,Color,14k-yellow-gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,variation,,,"Radiant Embrace Chain - 10 (50.8 mm), White Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,13,,,Size,10 (50.8 mm),,1,Color,White Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,variation,,,"Radiant Embrace Chain - 5 (48.8 mm), White Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,14,,,Size,5 (48.8 mm),,1,Color,White Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,variation,,,"Radiant Embrace Chain - 6 (50 mm), White Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,15,,,Size,6 (50 mm),,1,Color,White Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,variation,,,"Radiant Embrace Chain - 7 (50.2 mm), White Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,16,,,Size,7 (50.2 mm),,1,Color,White Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,variation,,,"Radiant Embrace Chain - 8 (50.4 mm), White Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,17,,,Size,8 (50.4 mm),,1,Color,White Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,variation,,,"Radiant Embrace Chain - 9 (50.6 mm), White Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,18,,,Size,9 (50.6 mm),,1,Color,White Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,variation,,,"Radiant Embrace Chain - 10 (50.8 mm), Yellow Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,19,,,Size,10 (50.8 mm),,1,Color,Yellow Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,variation,,,"Radiant Embrace Chain - 5 (48.8 mm), Yellow Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,20,,,Size,5 (48.8 mm),,1,Color,Yellow Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,variation,,,"Radiant Embrace Chain - 6 (50 mm), Yellow Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,21,,,Size,6 (50 mm),,1,Color,Yellow Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,variation,,,"Radiant Embrace Chain - 7 (50.2 mm), Yellow Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,22,,,Size,7 (50.2 mm),,1,Color,Yellow Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,variation,,,"Radiant Embrace Chain - 8 (50.4 mm), Yellow Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,23,,,Size,8 (50.4 mm),,1,Color,Yellow Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,variation,,,"Radiant Embrace Chain - 9 (50.6 mm), Yellow Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,42000.0,,,,,,,id:1926,,,,,,24,,,Size,9 (50.6 mm),,1,Color,Yellow Gold,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,variable,,,Crownlight Diamond Lariat,-1,0,visible,"<p class="""" data-start=""957"" data-end=""1119"">Royalty meets modernity in this versatile lariat necklace, where lab diamonds flow in a delicate drop — fit for layered looks or solo statements.</p>",,,,taxable,,1,,,0,0,,,,,0,,,,Necklaces,,,https://rareregalia.com/wp-content/uploads/2025/05/Crownlight-Diamond-Lariat.png,,,,,,,,,0,,,Color,"White Gold, Yellow Gold",1.0,1,Size,"10 (50.8 mm), 5 (48.8 mm), 6 (50 mm), 7 (50.2 mm), 8 (50.4 mm), 9 (50.6 mm)",1.0,1.0,default,,,,,,Array,Array,,auto,disable,standard,0.0,inherit,inherit,inherit,inherit,inherit,32.0,,,,90.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,variation,,,Crownlight Diamond Lariat - 10 (50.8 mm),-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,71250.0,,,,,,,id:1952,,,,,,1,,,Color,,,1,Size,10 (50.8 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,yes,Gold 22ct,12.5,700.0,,,,,8750.0,0.0,62500.0,62500.0,8750.0,0.0,71250.0,0.0,71250.0,0.0,0.0,0.0,0.0,71250.0,71250.0,0.0,,,,,,,,,,,,,,,,,
1954,variation,,,"Crownlight Diamond Lariat - 14k-white-gold, 5 (48.8 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,2,,,Color,14k-white-gold,,1,Size,5 (48.8 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,variation,,,"Crownlight Diamond Lariat - 14k-white-gold, 6 (50 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,3,,,Color,14k-white-gold,,1,Size,6 (50 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,variation,,,"Crownlight Diamond Lariat - 14k-white-gold, 7 (50.2 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,4,,,Color,14k-white-gold,,1,Size,7 (50.2 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,variation,,,"Crownlight Diamond Lariat - 14k-white-gold, 8 (50.4 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,5,,,Color,14k-white-gold,,1,Size,8 (50.4 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,variation,,,"Crownlight Diamond Lariat - 14k-white-gold, 9 (50.6 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,6,,,Color,14k-white-gold,,1,Size,9 (50.6 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,variation,,,"Crownlight Diamond Lariat - 14k-yellow-gold, 10 (50.8 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,7,,,Color,14k-yellow-gold,,1,Size,10 (50.8 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,variation,,,"Crownlight Diamond Lariat - 14k-yellow-gold, 5 (48.8 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,8,,,Color,14k-yellow-gold,,1,Size,5 (48.8 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,variation,,,"Crownlight Diamond Lariat - 14k-yellow-gold, 6 (50 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,9,,,Color,14k-yellow-gold,,1,Size,6 (50 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,variation,,,"Crownlight Diamond Lariat - 14k-yellow-gold, 7 (50.2 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,10,,,Color,14k-yellow-gold,,1,Size,7 (50.2 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,variation,,,"Crownlight Diamond Lariat - 14k-yellow-gold, 8 (50.4 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,11,,,Color,14k-yellow-gold,,1,Size,8 (50.4 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,variation,,,"Crownlight Diamond Lariat - 14k-yellow-gold, 9 (50.6 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,12,,,Color,14k-yellow-gold,,1,Size,9 (50.6 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,variation,,,"Crownlight Diamond Lariat - White Gold, 10 (50.8 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,13,,,Color,White Gold,,1,Size,10 (50.8 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,variation,,,"Crownlight Diamond Lariat - White Gold, 5 (48.8 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,14,,,Color,White Gold,,1,Size,5 (48.8 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,variation,,,"Crownlight Diamond Lariat - White Gold, 6 (50 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,15,,,Color,White Gold,,1,Size,6 (50 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,variation,,,"Crownlight Diamond Lariat - White Gold, 7 (50.2 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,16,,,Color,White Gold,,1,Size,7 (50.2 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,variation,,,"Crownlight Diamond Lariat - White Gold, 8 (50.4 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,17,,,Color,White Gold,,1,Size,8 (50.4 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,variation,,,"Crownlight Diamond Lariat - White Gold, 9 (50.6 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,18,,,Color,White Gold,,1,Size,9 (50.6 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,variation,,,"Crownlight Diamond Lariat - Yellow Gold, 10 (50.8 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,19,,,Color,Yellow Gold,,1,Size,10 (50.8 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,variation,,,"Crownlight Diamond Lariat - Yellow Gold, 5 (48.8 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,20,,,Color,Yellow Gold,,1,Size,5 (48.8 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,variation,,,"Crownlight Diamond Lariat - Yellow Gold, 6 (50 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,21,,,Color,Yellow Gold,,1,Size,6 (50 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,variation,,,"Crownlight Diamond Lariat - Yellow Gold, 7 (50.2 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,22,,,Color,Yellow Gold,,1,Size,7 (50.2 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,variation,,,"Crownlight Diamond Lariat - Yellow Gold, 8 (50.4 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,23,,,Color,Yellow Gold,,1,Size,8 (50.4 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,variation,,,"Crownlight Diamond Lariat - Yellow Gold, 9 (50.6 mm)",-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,48000.0,,,,,,,id:1952,,,,,,24,,,Color,Yellow Gold,,1,Size,9 (50.6 mm),,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,variable,,,Celesto Ring,1,0,visible,"A radiant lab-grown diamond takes center stage, encircled by a brilliant halo that captures the stars. Crafted to symbolize eternal grace with a modern royal twist.",,,,taxable,,1,,,0,0,,,,,0,,,,Uncategorized,,,https://rareregalia.com/wp-content/uploads/2025/06/0111-Render-W2.jpg,,,,,,,,,0,,,Diamond,VVS VS - Solitaire,1.0,1,Gold,"Gold 14ct, Gold 22ct",1.0,1.0,default,"2728,",,,,,Array,Array,,auto,disable,standard,0.0,inherit,inherit,inherit,inherit,inherit,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725,variation,,,"Celesto Ring - VVS VS - Solitaire, Gold 14ct",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23100.0,,,,https://rareregalia.com/wp-content/uploads/2025/06/0111-Render-Y3.jpg,,,id:2712,,,,,,1,,,Diamond,VVS VS - Solitaire,,1,Gold,Gold 14ct,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,yes,Gold 14ct,3,1200.0,,,,,3600.0,0.0,19500.0,19500.0,3600.0,0.0,23100.0,0.0,23100.0,0.0,0.0,0.0,0.0,23100.0,23100.0,0.0,VVS VS - Solitaire,1.4,,,,,,0.0,0.0,0.0,,,,,,,
2726,variation,,,"Celesto Ring - VVS VS - Solitaire, Gold 22ct",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,60600.0,,,,https://rareregalia.com/wp-content/uploads/2025/06/0111-Render-W3.jpg,,,id:2712,,,,,,2,,,Diamond,VVS VS - Solitaire,,1,Gold,Gold 22ct,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,yes,Gold 22ct,3,1200.0,,,,,3600.0,0.0,15000.0,57000.0,3600.0,0.0,60600.0,0.0,60600.0,0.0,0.0,0.0,0.0,60600.0,60600.0,0.0,VVS VS - Solitaire,1.4,,,,,,0.0,0.0,42000.0,,,,,,,
