spec_id,variant_id,spec_type,spec_name,spec_value,unit_of_measure
353,34,technical,Diamond Count,66.0,various
354,34,technical,Length(mm),18.79,various
355,34,technical,Width(mm),8.31,various
356,34,technical,Volume,283.43,various
357,34,technical,Diamond Wt.(Cts),0.92,various
358,34,technical,Casting wt.,4.449851,various
359,34,technical,0.2,0.8899702,various
360,34,technical,18KT wt.(Gm),3.5598808,various
361,35,technical,SKU Code,ER-16019,various
362,35,technical,Diamond Size(mm),1.1,various
363,35,technical,Diamond Count,66.0,various
364,35,technical,Length(mm),18.79,various
365,35,technical,Width(mm),8.31,various
366,35,technical,Volume,283.43,various
367,35,technical,Diamond Wt.(Cts),0.92,various
368,35,technical,Casting wt.,4.449851,various
369,35,technical,0.2,0.8899702,various
370,35,technical,18KT wt.(Gm),3.5598808,various
371,36,technical,SKU Code,ER-16019,various
372,36,technical,Diamond Size(mm),1.1,various
373,36,technical,Diamond Count,66.0,various
374,36,technical,Length(mm),18.79,various
375,36,technical,Width(mm),8.31,various
376,36,technical,Volume,283.43,various
377,36,technical,Diamond Wt.(Cts),0.92,various
378,36,technical,Casting wt.,4.449851,various
379,36,technical,0.2,0.8899702,various
380,36,technical,18KT wt.(Gm),3.5598808,various
381,37,technical,SKU Code,ER-16020,various
382,37,technical,Diamond Size(mm),1.2,various
383,37,technical,Diamond Count,52.0,various
384,37,technical,Length(mm),18.41,various
385,37,technical,Volume,276.95,various
386,37,technical,Diamond Wt.(Cts),0.84,various
387,37,technical,Casting wt.,4.348114999999999,various
388,37,technical,0.2,0.8696229999999998,various
389,37,technical,18KT wt.(Gm),3.4784919999999997,various
390,38,technical,SKU Code,ER-16020,various
391,38,technical,Diamond Size(mm),1.2,various
392,38,technical,Diamond Count,52.0,various
393,38,technical,Length(mm),18.41,various
394,38,technical,Volume,276.95,various
395,38,technical,Diamond Wt.(Cts),0.84,various
396,38,technical,Casting wt.,4.348114999999999,various
397,38,technical,0.2,0.8696229999999998,various
398,38,technical,18KT wt.(Gm),3.4784919999999997,various
399,39,technical,SKU Code,ER-16020,various
400,39,technical,Diamond Size(mm),1.2,various
401,39,technical,Diamond Count,52.0,various
402,39,technical,Length(mm),18.41,various
403,39,technical,Volume,276.95,various
404,39,technical,Diamond Wt.(Cts),0.84,various
405,39,technical,Casting wt.,4.348114999999999,various
406,39,technical,0.2,0.8696229999999998,various
407,39,technical,18KT wt.(Gm),3.4784919999999997,various
408,40,technical,SKU Code,ER-16020,various
409,40,technical,Diamond Size(mm),1.2,various
410,40,technical,Diamond Count,52.0,various
411,40,technical,Length(mm),18.41,various
412,40,technical,Volume,276.95,various
413,40,technical,Diamond Wt.(Cts),0.84,various
414,40,technical,Casting wt.,4.348114999999999,various
415,40,technical,0.2,0.8696229999999998,various
416,40,technical,18KT wt.(Gm),3.4784919999999997,various
417,41,technical,SKU Code,ER-16034,various
418,41,technical,Diamond Size(mm),1.3,various
419,41,technical,Diamond Count,22.0,various
420,41,technical,Length(mm),21.28,various
421,41,technical,Width(mm),6.97,various
422,41,technical,Volume,307.55,various
423,41,technical,Diamond Wt.(Cts),0.91,various
424,41,technical,Casting wt.,4.828535,various
425,41,technical,0.2,0.965707,various
426,41,technical,18KT wt.(Gm),3.862828,various
427,42,technical,SKU Code,ER-16034,various
428,42,technical,Diamond Size(mm),1.3,various
429,42,technical,Diamond Count,22.0,various
430,42,technical,Length(mm),21.28,various
431,42,technical,Width(mm),6.97,various
432,42,technical,Volume,307.55,various
433,42,technical,Diamond Wt.(Cts),0.91,various
434,42,technical,Casting wt.,4.828535,various
435,42,technical,0.2,0.965707,various
436,42,technical,18KT wt.(Gm),3.862828,various
437,43,technical,SKU Code,ER-16034,various
438,43,technical,Diamond Size(mm),1.3,various
439,43,technical,Diamond Count,22.0,various
440,43,technical,Length(mm),21.28,various
441,43,technical,Width(mm),6.97,various
442,43,technical,Volume,307.55,various
443,43,technical,Diamond Wt.(Cts),0.91,various
444,43,technical,Casting wt.,4.828535,various
445,43,technical,0.2,0.965707,various
446,43,technical,18KT wt.(Gm),3.862828,various
447,44,technical,SKU Code,ER-16034,various
448,44,technical,Diamond Size(mm),1.3,various
449,44,technical,Diamond Count,22.0,various
450,44,technical,Length(mm),21.28,various
451,44,technical,Width(mm),6.97,various
452,44,technical,Volume,307.55,various
453,44,technical,Diamond Wt.(Cts),0.91,various
454,44,technical,Casting wt.,4.828535,various
455,44,technical,0.2,0.965707,various
456,44,technical,18KT wt.(Gm),3.862828,various
457,45,technical,SKU Code,ER-16034,various
458,45,technical,Diamond Size(mm),1.3,various
459,45,technical,Diamond Count,22.0,various
460,45,technical,Length(mm),21.28,various
461,45,technical,Width(mm),6.97,various
462,45,technical,Volume,307.55,various
463,45,technical,Diamond Wt.(Cts),0.91,various
464,45,technical,Casting wt.,4.828535,various
465,45,technical,0.2,0.965707,various
466,45,technical,18KT wt.(Gm),3.862828,various
467,46,technical,SKU Code,ER-16034,various
468,46,technical,Diamond Size(mm),1.3,various
469,46,technical,Diamond Count,22.0,various
470,46,technical,Length(mm),21.28,various
471,46,technical,Width(mm),6.97,various
472,46,technical,Volume,307.55,various
473,46,technical,Diamond Wt.(Cts),0.91,various
474,46,technical,Casting wt.,4.828535,various
475,46,technical,0.2,0.965707,various
476,46,technical,18KT wt.(Gm),3.862828,various
477,47,technical,SKU Code,ER-16034,various
478,47,technical,Diamond Size(mm),1.3,various
479,47,technical,Diamond Count,22.0,various
480,47,technical,Length(mm),21.28,various
481,47,technical,Width(mm),6.97,various
482,47,technical,Volume,307.55,various
483,47,technical,Diamond Wt.(Cts),0.91,various
484,47,technical,Casting wt.,4.828535,various
485,47,technical,0.2,0.965707,various
486,47,technical,18KT wt.(Gm),3.862828,various
487,48,technical,SKU Code,ER-16034,various
488,48,technical,Diamond Size(mm),1.3,various
489,48,technical,Diamond Count,22.0,various
490,48,technical,Length(mm),21.28,various
491,48,technical,Width(mm),6.97,various
492,48,technical,Volume,307.55,various
493,48,technical,Diamond Wt.(Cts),0.91,various
494,48,technical,Casting wt.,4.828535,various
495,48,technical,0.2,0.965707,various
496,48,technical,18KT wt.(Gm),3.862828,various
497,49,technical,SKU Code,ER-16034,various
498,49,technical,Diamond Size(mm),1.3,various
499,49,technical,Diamond Count,22.0,various
500,49,technical,Length(mm),21.28,various
501,49,technical,Width(mm),6.97,various
502,49,technical,Volume,307.55,various
503,49,technical,Diamond Wt.(Cts),0.91,various
504,49,technical,Casting wt.,4.828535,various
505,49,technical,0.2,0.965707,various
506,49,technical,18KT wt.(Gm),3.862828,various
507,50,technical,SKU Code,ER-16034,various
508,50,technical,Diamond Size(mm),1.3,various
509,50,technical,Diamond Count,22.0,various
510,50,technical,Length(mm),21.28,various
511,50,technical,Width(mm),6.97,various
512,50,technical,Volume,307.55,various
513,50,technical,Diamond Wt.(Cts),0.91,various
514,50,technical,Casting wt.,4.828535,various
515,50,technical,0.2,0.965707,various
516,50,technical,18KT wt.(Gm),3.862828,various
517,51,technical,SKU Code,ER-17037,various
518,51,technical,Diamond Wt,1.78,various
519,51,technical,Volume,605.95,various
520,51,technical,Casting wt.,9.513415,various
521,51,technical,18KT wt.(Gm),7.610732,various
522,51,technical,Diamond Size(Round),3.4,various
523,51,technical,Diamond Count(Round),2.0,various
524,51,technical,Diamond Count(Baguette),2.75 * 1.75,various
525,51,technical,Diamond Size(Marquise),8,various
526,51,technical,Length,25.75,various
527,51,technical,Width,12.0,various
528,51,technical,Reduction,1.902683,various
529,52,technical,SKU Code,ER-17037,various
530,52,technical,Diamond Wt,1.78,various
531,52,technical,Volume,605.95,various
532,52,technical,Casting wt.,9.513415,various
533,52,technical,18KT wt.(Gm),7.610732,various
534,52,technical,Diamond Size(Round),3.4,various
535,52,technical,Diamond Count(Round),2.0,various
536,52,technical,Diamond Count(Baguette),2.75 * 1.75,various
537,52,technical,Diamond Size(Marquise),8,various
538,52,technical,Length,25.75,various
539,52,technical,Width,12.0,various
540,52,technical,Reduction,1.902683,various
541,53,technical,SKU Code,ER-17037,various
542,53,technical,Diamond Wt,1.78,various
543,53,technical,Volume,605.95,various
544,53,technical,Casting wt.,9.513415,various
545,53,technical,18KT wt.(Gm),7.610732,various
546,53,technical,Diamond Size(Round),3.4,various
547,53,technical,Diamond Count(Round),2.0,various
548,53,technical,Diamond Count(Baguette),2.75 * 1.75,various
549,53,technical,Diamond Size(Marquise),8,various
550,53,technical,Length,25.75,various
551,53,technical,Width,12.0,various
552,53,technical,Reduction,1.902683,various
553,54,technical,SKU Code,ER-17037,various
554,54,technical,Diamond Wt,1.78,various
555,54,technical,Volume,605.95,various
556,54,technical,Casting wt.,9.513415,various
557,54,technical,18KT wt.(Gm),7.610732,various
558,54,technical,Diamond Size(Round),3.4,various
559,54,technical,Diamond Count(Round),2.0,various
560,54,technical,Diamond Count(Baguette),2.75 * 1.75,various
561,54,technical,Diamond Size(Marquise),8,various
562,54,technical,Length,25.75,various
563,54,technical,Width,12.0,various
564,54,technical,Reduction,1.902683,various
565,55,technical,SKU Code,ER-17037,various
566,55,technical,Diamond Wt,1.78,various
567,55,technical,Volume,605.95,various
568,55,technical,Casting wt.,9.513415,various
569,55,technical,18KT wt.(Gm),7.610732,various
570,55,technical,Diamond Size(Round),3.4,various
571,55,technical,Diamond Count(Round),2.0,various
572,55,technical,Diamond Count(Baguette),2.75 * 1.75,various
573,55,technical,Diamond Size(Marquise),8,various
574,55,technical,Length,25.75,various
575,55,technical,Width,12.0,various
576,55,technical,Reduction,1.902683,various
577,56,technical,SKU Code,ER-17037,various
578,56,technical,Diamond Wt,1.78,various
579,56,technical,Volume,605.95,various
580,56,technical,Casting wt.,9.513415,various
581,56,technical,18KT wt.(Gm),7.610732,various
582,56,technical,Diamond Size(Round),3.4,various
583,56,technical,Diamond Count(Round),2.0,various
584,56,technical,Diamond Count(Baguette),2.75 * 1.75,various
585,56,technical,Diamond Size(Marquise),8,various
586,56,technical,Length,25.75,various
587,56,technical,Width,12.0,various
588,56,technical,Reduction,1.902683,various
589,57,technical,SKU Code,ER-17051,various
590,57,technical,Diamond Wt,0.64,various
591,57,technical,Volume,299.0,various
592,57,technical,Casting wt.,4.694299999999999,various
593,57,technical,18KT wt.(Gm),3.7554399999999992,various
594,57,technical,Diamond Size(Round),1.0,various
595,57,technical,Diamond Count(Round),172.0,various
596,57,technical,Length,20.61,various
597,57,technical,Width,5.68,various
598,57,technical,Reduction,0.93886,various
599,58,technical,SKU Code,ER-17051,various
600,58,technical,Diamond Wt,0.64,various
601,58,technical,Volume,299.0,various
602,58,technical,Casting wt.,4.694299999999999,various
603,58,technical,18KT wt.(Gm),3.7554399999999992,various
604,58,technical,Diamond Size(Round),1.0,various
605,58,technical,Diamond Count(Round),172.0,various
606,58,technical,Length,20.61,various
607,58,technical,Width,5.68,various
608,58,technical,Reduction,0.93886,various
609,59,technical,SKU Code,ER-17051,various
610,59,technical,Diamond Wt,0.64,various
611,59,technical,Volume,299.0,various
612,59,technical,Casting wt.,4.694299999999999,various
613,59,technical,18KT wt.(Gm),3.7554399999999992,various
614,59,technical,Diamond Size(Round),1.0,various
615,59,technical,Diamond Count(Round),172.0,various
616,59,technical,Length,20.61,various
617,59,technical,Width,5.68,various
618,59,technical,Reduction,0.93886,various
619,60,technical,SKU Code,ER-17051,various
620,60,technical,Diamond Wt,0.64,various
621,60,technical,Volume,299.0,various
622,60,technical,Casting wt.,4.694299999999999,various
623,60,technical,18KT wt.(Gm),3.7554399999999992,various
624,60,technical,Diamond Size(Round),1.0,various
625,60,technical,Diamond Count(Round),172.0,various
626,60,technical,Length,20.61,various
627,60,technical,Width,5.68,various
628,60,technical,Reduction,0.93886,various
629,61,technical,SKU Code,ER-17051,various
630,61,technical,Diamond Wt,0.64,various
631,61,technical,Volume,299.0,various
632,61,technical,Casting wt.,4.694299999999999,various
